Dates,close,high,low,open,volume
2015-06-15-22:39:00,126.351,126.48,126.22,126.22,445000.0
2015-06-15-22:44:59,126.33,126.46,126.2505,126.36,423400.0
2015-06-15-22:49:00,126.29,126.39,126.25,126.33,308900.0
2015-06-15-22:54:59,126.16,126.33,126.15,126.2999,335500.0
2015-06-15-22:59:00,126.29,126.29,126.09,126.17,552900.0
2015-06-15-23:04:00,126.47,126.59,126.28,126.28,775200.0
2015-06-15-23:09:00,126.5899,126.64,126.39,126.4698,370400.0
2015-06-15-23:14:00,126.7201,126.88,126.59,126.59,1676600.0
2015-06-15-23:19:00,126.735,126.8155,126.7,126.718,531600.0
2015-06-15-23:24:00,126.64,126.79,126.5601,126.73,428800.0
2015-06-15-23:29:00,126.615,126.73,126.57,126.63,406900.0
2015-06-15-23:34:00,126.5899,126.69,126.53,126.61,282500.0
2015-06-15-23:39:58,126.6447,126.67,126.56,126.58,239800.0
2015-06-15-23:44:58,126.729,126.81,126.64,126.6462,346700.0
2015-06-15-23:49:59,126.8,126.81,126.678,126.72,324100.0
2015-06-15-23:54:02,126.859,126.96,126.7801,126.8,368600.0
2015-06-15-23:59:00,126.83,126.89,126.7572,126.855,319500.0
2015-06-16-00:04:00,126.83,126.87,126.77,126.82,183000.0
2015-06-16-00:09:00,126.8799,126.91,126.775,126.83,302500.0
2015-06-16-00:14:59,126.8534,126.89,126.78,126.87,193800.0
2015-06-16-00:19:59,126.874,126.9,126.81,126.86,165700.0
2015-06-16-00:24:03,126.83,127.06,126.768,126.8757,635400.0
2015-06-16-00:29:59,126.66,126.87,126.62,126.8142,513800.0
2015-06-16-00:34:00,126.62,126.65,126.56,126.64,339100.0
2015-06-16-00:39:01,126.46,126.615,126.4182,126.615,492600.0
2015-06-16-00:44:02,126.4601,126.48,126.39,126.46,299800.0
2015-06-16-00:49:00,126.72,126.73,126.46,126.46,1333200.0
2015-06-16-00:54:00,126.6999,126.7199,126.61,126.719,321300.0
2015-06-16-00:59:58,126.68,126.75,126.6,126.703,311500.0
2015-06-16-01:04:58,126.6865,126.71,126.59,126.68,159800.0
2015-06-16-01:09:00,126.7047,126.71,126.63,126.681,102700.0
2015-06-16-01:14:03,126.77,126.77,126.64,126.7,157300.0
2015-06-16-01:19:01,126.7799,126.8,126.74,126.765,173400.0
2015-06-16-01:24:02,126.67,126.7999,126.67,126.78,472900.0
2015-06-16-01:29:58,126.646,126.7,126.6,126.673,184900.0
2015-06-16-01:34:06,126.7,126.7,126.58,126.65,182400.0
2015-06-16-01:39:00,126.6238,126.72,126.62,126.71,142100.0
2015-06-16-01:44:01,126.6,126.64,126.46,126.621,357000.0
2015-06-16-01:49:00,126.64,126.645,126.56,126.5947,141000.0
2015-06-16-01:54:00,126.74,126.95,126.52,126.64,804300.0
2015-06-16-01:59:58,126.73,126.82,126.62,126.75,262900.0
2015-06-16-02:04:59,126.8232,126.84,126.72,126.72,231100.0
2015-06-16-02:09:00,126.92,127.06,126.785,126.82,672900.0
2015-06-16-02:14:01,127.11,127.14,126.92,126.92,489900.0
2015-06-16-02:19:59,127.13,127.24,127.075,127.11,499300.0
2015-06-16-02:24:58,127.05,127.1401,127.04,127.14,211700.0
2015-06-16-02:29:03,127.11,127.12,127.01,127.05,292600.0
2015-06-16-02:34:59,127.0554,127.15,127.05,127.11,180700.0
2015-06-16-02:39:58,127.095,127.15,127.02,127.05,232500.0
2015-06-16-02:44:00,126.99,127.09,126.97,127.09,258800.0
2015-06-16-02:49:01,127.052,127.1,126.97,126.98,242800.0
2015-06-16-02:54:01,127.0,127.0599,126.95,127.05,337100.0
2015-06-16-02:59:01,126.93,127.0,126.85,126.99,317500.0
2015-06-16-03:04:59,126.81,126.9601,126.8,126.92,258100.0
2015-06-16-03:09:00,126.833,126.86,126.7401,126.81,335400.0
